=== Syscall Trace Session ===
PID: 15331
Started: Fri May  8 14:39:16 2026
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #1     write
[14:39:37] syscall #1     write
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #228   clock_gettime
[14:39:37] syscall #228   clock_gettime
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #46    sendmsg
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #7     poll
[14:39:37] syscall #7     poll
[14:39:37] syscall #0     read
[14:39:37] syscall #0     read
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
[14:39:37] syscall #202   futex
